Id_log,code_dep,nbr_log,t_log_soc,t_log_indiv
1,1,303196,17.0,64.0
2,2,263182,18.0,76.0
3,3,206333,12.0,72.0
4,4,125755,9.0,61.0
5,6,757924,10.0,24.0
6,7,198998,9.0,74.0
7,8,141523,20.0,71.0
8,9,107815,5.0,80.0
9,10,161715,23.0,66.0
10,11,256038,10.0,71.0
11,12,178832,6.0,74.0
12,67,539184,14.0,47.0
13,13,1000230,17.0,38.0
14,14,426069,19.0,60.0
15,15,101070,8.0,75.0
16,16,198241,9.8,82.8
17,17,445578,10.0,77.0
18,18,177873,14.0,79.0
19,19,153380,8.0,78.0
20,96,123650,9.0,52.0
21,21,292479,15.0,54.0
22,22,360831,8.0,82.0
23,23,88030,9.0,86.0
24,79,191426,9.0,86.0
25,24,254994,7.0,84.0
26,25,275361,16.0,51.0
27,26,265645,12.0,64.0
28,91,541843,23.0,47.0
29,27,290300,17.0,77.0
30,28,212566,18.0,74.0
31,29,533651,11.0,73.0
32,30,414992,12.0,62.0
33,32,108655,6.0,81.0
34,33,828907,14.0,63.0
35,971,223722,21.0,75.0
36,973,84718,23.0,63.0
37,68,373686,15.0,52.0
38,97,127847,10.0,50.0
39,31,691485,14.0,50.0
40,43,141350,8.0,77.0
41,52,100622,20.0,75.0
42,70,125664,11.0,77.0
43,74,492485,13.0,41.0
44,87,219980,14.2,66.2
45,5,133804,12.0,43.0
46,65,161703,11.7,60.3
47,92,789809,28.0,11.0
48,34,729652,12.1,48.2
49,35,530547,15.0,60.0
50,36,137780,17.0,83.0
51,37,315335,18.0,63.0
52,38,633595,16.0,49.0
53,39,147299,12.0,65.0
54,974,356849,22.0,67.0
55,40,249240,7.0,73.0
56,41,184614,14.3,80.3
57,42,396655,17.7,51.0
58,44,776207,15.0,61.0
59,45,348977,17.0,68.0
60,46,116516,6.0,83.0
61,47,182901,7.0,80.0
62,48,60110,8.0,78.0
63,49,389081,18.0,70.0
64,50,293265,17.0,80.0
65,51,289583,28.0,56.0
66,972,210145,19.0,64.0
67,53,154756,12.0,80.0
68,54,369849,16.0,54.0
69,55,99354,12.0,76.0
70,56,454930,11.0,74.0
71,57,506609,17.0,55.0
72,58,141427,13.0,78.0
73,59,1194450,24.0,67.0
74,60,365879,20.0,67.0
75,61,164371,17.0,79.0
76,75,1366438,20.0,1.0
77,62,703500,26.0,77.0
78,63,379235,13.0,63.0
79,64,394629,11.0,52.0
80,66,343028,10.0,56.0
81,69,890850,21.0,29.0
82,71,307521,17.0,69.0
83,72,287698,15.0,75.0
84,73,338924,17.0,38.0
85,77,597798,19.0,58.0
86,76,629506,25.0,56.0
87,93,652707,36.0,25.0
88,80,294679,16.0,74.0
89,81,207386,9.0,79.0
90,82,128761,8.0,79.0
91,90,71397,22.0,47.0
92,95,504100,26.5,44.6
93,94,647289,30.0,21.0
94,83,700842,10.0,47.0
95,84,295359,13.0,64.0
96,85,412580,8.0,84.0
97,86,235912,12.0,74.0
98,88,211645,15.0,65.0
99,89,194524,14.0,78.0
100,78,621026,21.0,43.0
